event_number,event_text,predicted_label,confidence,pos_score,neu_score,neg_score,valence_event_continuous,arousal_event_score
31,"“I don't care about Dr. Acosta's lessons. I'm never opening my eyes again. It's better this way,” Steven told himself. “It's not my fault.” Stephen said out loud, but he knew it wasn't entirely true.",neutral,0.6,0,0.6,0.4,-0.4,0.4
32,"He was jealous when Richard pulled out the gun to show it off. Richard was always the cool one in the group. His mother gave him everything, even though they were known in the neighborhood as being poor. Stephen's father once told him that Richard's mother was a drug dealer, and that he should stay away from him.",negative,0.6,0,0.4,0.6,-0.6,0.6
33,"Yet he kept hanging out with Richard, even though he hated him. Stephen didn't want to be alone. The others would never think of hanging with him without Richard.",negative,0.6,0,0.4,0.6,-0.6,0.6
34,"So when Richard took that gun out, Stephen had it in his mind to grab the weapon and pose with it like he was an action star, but not before scaring Richard. It didn't go as planned. He was not counting on there being bullets in the gun. Richard still had the gun in his hands. It was pointed towards his face when Stephen grabbed it.",negative,0.7,0,0.3,0.7,-0.7,0.7
35,The police believed it was a mistake made by Richard and that Stephen was trying to take the gun away.,negative,0.6,0,0.4,0.6,-0.6,0.6
36,"The stairs creaked, startling Stephen from his memory. He swung around in his desk chair. “Hello?” Stephen said, could it be Susan? But she said that she would be out for a couple of hours. She would have called to say that she was coming back, he wondered.",neutral,0.4,0.2,0.4,0.4,-0.2,0.6
37,"Stephen waited for the sound to return, but no sound came. Stupid old house, he thought.",neutral,0.7,0.1,0.7,0.2,-0.1,0.3
38,"The hairs stood up on his arms as he felt a presence. “Who’s there?” Stephen said. A breeze crossed his face as if someone had walked past him. He shrunk back in his chair. Taking his white cane, he swung it back and forth. It didn't hit anything.",negative,0.9,0,0.1,0.9,-0.9,0.9
39,"Suddenly, someone grabbed it and yanked it. Stephen hopped up to his feet and was dragged. He was being pulled out of the office. Just as he was about to pull it back, the person let go. Stephen caught a whiff of the perfume.",negative,0.8,0,0.2,0.8,-0.8,0.8
40,"“Susan?” Before Stephen could turn around and confront the voice, he was pushed from behind. His eyes were forced open as his body went airborne and slammed into the staircase. He saw everything.",negative,0.8,0,0.2,0.8,-0.8,0.8
41,"Stephen's body lay in a crumbled heap at the bottom. Susan checked his pulse with a gloved hand. She smirked and took note of the white cane nearby. After grabbing her journal with the newspaper clippings and cleaning up, she left without so much as a backward glance.",negative,0.8,0,0.2,0.8,-0.8,0.8
